30.76673583,103.98461633,-0.354,0.004
30.76673650,103.98461617,-0.346,0.002
30.76673700,103.98461617,-0.350,0.004
30.76673783,103.98461617,-0.348,-0.001
30.76673850,103.98461617,-0.349,-0.002
30.76673917,103.98461583,-0.352,-0.000
30.76673983,103.98461567,-0.347,-0.001
30.76674033,103.98461533,-0.348,0.003
30.76674033,103.98461550,-0.349,0.004
30.76674083,103.98461533,-0.349,0.001
30.76674150,103.98461500,-0.348,-0.001
30.76674233,103.98461450,-0.347,-0.001
30.76674300,103.98461367,-0.347,-0.002
30.76674300,103.98461383,-0.353,-0.002
30.76674267,103.98461433,-0.348,0.000
30.76674267,103.98461467,-0.346,-0.004
30.76674233,103.98461583,-0.344,-0.002
30.76674133,103.98461800,-0.345,-0.002
30.76674033,103.98462117,-0.346,0.000
30.76673983,103.98462433,-0.351,0.003
30.76674000,103.98462800,-0.344,0.004
30.76674050,103.98463067,-0.347,0.001
30.76674133,103.98463217,-0.346,-0.004
30.76674233,103.98463233,-0.354,-0.002
30.76674400,103.98463050,-0.351,-0.008
30.76674500,103.98462883,-0.351,0.006
30.76674600,103.98462567,-0.346,-0.005
30.76674767,103.98462100,-0.350,-0.002
30.76675000,103.98461550,-0.355,0.007
30.76675000,103.98461617,-0.353,-0.001
30.76675017,103.98461633,-0.343,0.001
30.76675050,103.98461600,-0.353,-0.003
30.76675033,103.98461600,-0.349,0.000
30.76675033,103.98461617,-0.348,-0.002
30.76675017,103.98461633,-0.344,-0.004
30.76675033,103.98461617,-0.344,-0.001
30.76675033,103.98461633,-0.316,-0.000
30.76675600,103.98462667,1.364,0.049
30.76676300,103.98463683,2.656,0.128
30.76677067,103.98464683,4.067,0.161
30.76678067,103.98466500,5.915,-0.145
30.76679033,103.98468433,8.279,-0.399
30.76680350,103.98470733,10.892,-0.532
30.76681767,103.98472817,13.482,-0.461
30.76682933,103.98474283,15.281,-0.297
30.76683967,103.98475667,17.046,-0.213
30.76685050,103.98477083,18.855,-0.226
30.76686150,103.98478633,20.744,-0.178
30.76687217,103.98480150,22.603,-0.033
30.76688350,103.98481550,24.325,0.119
30.76688817,103.98482167,25.029,0.185
30.76688867,103.98482267,25.048,0.189
30.76689250,103.98482767,25.788,0.228
30.76690033,103.98483850,27.129,0.304
30.76690983,103.98485200,28.770,0.312
30.76692050,103.98486733,30.669,0.368
30.76693417,103.98488533,32.930,0.517
30.76694633,103.98490333,34.874,0.592
30.76695933,103.98492067,37.066,0.778
30.76697267,103.98493817,39.144,0.853
30.76698650,103.98495733,41.567,0.945
30.76700033,103.98497650,43.842,1.007
30.76701450,103.98499717,46.341,1.081
30.76702883,103.98501867,48.889,1.144
30.76704117,103.98503767,51.076,1.166
30.76705517,103.98505717,53.463,1.379
30.76706967,103.98507417,55.560,1.629
30.76708300,103.98509367,57.880,1.664
30.76709500,103.98511200,60.030,1.679
30.76710833,103.98512950,62.325,1.830
30.76712100,103.98514667,64.459,1.895
30.76713333,103.98516517,66.639,1.905
30.76714617,103.98518283,68.866,1.959
30.76715900,103.98520217,71.111,1.904
30.76718467,103.98524267,75.860,1.731
30.76720883,103.98528733,80.653,1.184
30.76722083,103.98530967,83.042,1.042
30.76722800,103.98531967,84.224,1.093
30.76723650,103.98533317,85.683,0.960
30.76724383,103.98534833,87.224,0.729
30.76724617,103.98535267,87.419,0.715
30.76724667,103.98535317,87.454,0.705
30.76724700,103.98535350,87.469,0.704
30.76724750,103.98535367,87.444,0.700
30.76724800,103.98535383,87.469,0.704
30.76724850,103.98535400,87.487,0.699
30.76724900,103.98535433,87.488,0.699
30.76725050,103.98535533,87.584,0.686
30.76725450,103.98536417,88.434,0.558
30.76726417,103.98538250,90.777,0.351
30.76729167,103.98542383,95.737,0.150
30.76730333,103.98544650,98.223,-0.194
30.76731333,103.98546583,100.224,-0.478
30.76732100,103.98548233,101.946,-0.989
30.76732317,103.98549850,103.097,-1.883
30.76731800,103.98551950,104.215,-3.758
30.76730333,103.98553950,104.712,-6.424
30.76728733,103.98555817,104.872,-8.898
30.76727200,103.98557550,104.802,-11.200
30.76725517,103.98558517,104.752,-13.508
30.76724133,103.98560017,105.136,-15.776
30.76722783,103.98561750,105.494,-18.043
30.76721233,103.98563350,105.712,-20.444
30.76719717,103.98565317,106.091,-22.944
30.76718200,103.98567083,106.397,-25.478
30.76716667,103.98568767,106.577,-27.874
30.76715133,103.98570200,106.721,-30.209
30.76713483,103.98571850,106.912,-32.651
30.76711817,103.98573817,107.315,-35.325
30.76710017,103.98575650,107.694,-37.897
30.76708383,103.98577650,108.031,-40.443
30.76706617,103.98579567,108.319,-43.084
30.76704833,103.98581317,108.473,-45.694
30.76703050,103.98583200,108.655,-48.332
30.76701367,103.98584900,108.858,-50.778
30.76699733,103.98586083,108.497,-52.680
30.76698067,103.98587200,108.524,-54.991
30.76696633,103.98589250,109.040,-57.460
30.76695150,103.98591367,109.543,-60.088
30.76693567,103.98593433,109.932,-62.732
30.76691933,103.98595250,110.075,-65.274
30.76690183,103.98597100,110.251,-67.918
30.76688433,103.98598850,110.403,-70.484
30.76686700,103.98600600,110.626,-73.046
30.76684933,103.98602400,110.848,-75.570
30.76683267,103.98604317,111.202,-78.227
30.76681583,103.98606317,111.510,-80.772
30.76679867,103.98608083,111.606,-83.407
30.76678067,103.98609750,111.610,-86.002
30.76676383,103.98611483,111.804,-88.547
30.76674750,103.98613233,112.056,-91.075
30.76673067,103.98615133,112.272,-93.625
30.76671250,103.98616900,112.398,-96.306
30.76669533,103.98618683,112.622,-98.898
30.76667850,103.98620583,112.927,-101.509
30.76666150,103.98622417,113.112,-104.055
30.76664383,103.98624250,113.288,-106.672
30.76662767,103.98626200,113.598,-109.268
30.76661000,103.98628067,113.879,-111.888
30.76659183,103.98629867,113.973,-114.454
30.76657467,103.98631567,114.158,-117.042
30.76655833,103.98633300,114.368,-119.615
30.76654183,103.98635067,114.515,-122.261
30.76652483,103.98636817,114.662,-124.913
30.76650867,103.98638683,114.954,-127.412
30.76649233,103.98640517,115.189,-130.024
30.76647433,103.98642200,115.250,-132.597
30.76645583,103.98643817,115.258,-135.295
30.76643767,103.98645600,115.341,-137.814
30.76642050,103.98647433,115.580,-140.413
30.76640283,103.98649200,115.701,-143.084
30.76638483,103.98650967,115.863,-145.703
30.76636783,103.98652800,116.205,-148.289
30.76635183,103.98654700,116.553,-150.762
30.76633517,103.98656450,116.748,-153.376
30.76631717,103.98658083,116.644,-156.111
30.76629750,103.98659350,116.483,-158.723
30.76627883,103.98661033,116.492,-161.389
30.76626133,103.98662767,116.789,-163.935
30.76624633,103.98664683,116.977,-166.391
30.76622817,103.98666350,117.025,-169.074
30.76621017,103.98668150,117.205,-171.715
30.76619217,103.98670017,117.476,-174.372
30.76617567,103.98671667,117.913,-176.861
30.76615850,103.98673533,118.068,-179.447
30.76613983,103.98675250,118.048,-182.137
30.76612083,103.98676833,118.164,-184.659
30.76610417,103.98678783,118.329,-187.411
30.76608383,103.98680417,118.199,-190.018
30.76606650,103.98682250,118.556,-192.640
30.76605067,103.98683933,118.610,-195.055
30.76603433,103.98685900,118.975,-197.506
30.76601850,103.98687817,119.419,-200.185
30.76600133,103.98689500,119.621,-202.835
30.76598183,103.98691033,119.559,-205.370
30.76596183,103.98692483,119.399,-208.013
30.76594367,103.98693967,119.542,-210.599
30.76592633,103.98695767,119.844,-213.228
30.76591133,103.98697717,120.247,-215.692
30.76589533,103.98699617,120.605,-218.182
30.76587767,103.98701450,120.737,-220.919
30.76585933,103.98703250,120.911,-223.534
30.76584200,103.98705183,121.150,-226.058
30.76582450,103.98707167,121.547,-228.811
30.76580933,103.98708883,121.818,-231.121
30.76579183,103.98710683,122.018,-233.700
30.76577683,103.98712233,122.176,-235.934
30.76577167,103.98712850,122.177,-236.377
30.76577200,103.98712900,122.174,-236.422
30.76577200,103.98712950,122.192,-236.424
30.76577217,103.98713000,122.188,-236.416
30.76577200,103.98713033,122.188,-236.410
30.76577200,103.98713067,122.187,-236.404
30.76577183,103.98713083,122.176,-236.408
30.76577100,103.98713117,122.193,-236.511
30.76576750,103.98713367,122.202,-236.896
30.76576050,103.98713900,122.277,-237.982
30.76572983,103.98717133,122.621,-242.722
30.76571233,103.98718967,122.826,-245.244
30.76569417,103.98720733,122.922,-247.868
30.76567617,103.98722750,123.163,-250.395
30.76565933,103.98724700,123.380,-252.746
